comparison,session_id,reference_frame,phase_label,x_a,y_a,x_b,y_b,pixel_distance,pct_image_diagonal,over_10px,over_25px,over_50px
inter_rater,2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,134,follow_through,75.0,597.0,12.0,586.0,63.953107821277925,2.9031231406309645,1,1,1
inter_rater,32fec03e-0046-4581-885b-ef0d7f174e53,71,backswing,532.0,871.0,514.0,826.0,48.46648326421054,3.3001719674642405,1,1,0
inter_rater,32fec03e-0046-4581-885b-ef0d7f174e53,82,backswing,229.0,551.0,191.0,467.0,92.19544457292888,6.277757353444304,1,1,1
inter_rater,32fec03e-0046-4581-885b-ef0d7f174e53,89,backswing,245.0,68.0,275.0,234.0,168.68906307167634,11.486348496385412,1,1,1
inter_rater,32fec03e-0046-4581-885b-ef0d7f174e53,95,impact_region,87.0,308.0,115.0,305.0,28.160255680657446,1.9174835914401291,1,1,0
inter_rater,32fec03e-0046-4581-885b-ef0d7f174e53,97,impact_region,503.0,914.0,507.0,1023.0,109.07336980216573,7.427006318070873,1,1,1
inter_rater,32fec03e-0046-4581-885b-ef0d7f174e53,99,impact_region,478.0,574.0,469.0,593.0,21.02379604162864,1.4315489318265198,1,0,0
inter_rater,3d47c3b9-21d9-4794-995d-52804115fb8b,1,backswing,1197.0,903.0,1169.0,978.0,80.05623023850174,3.6341172849108716,1,1,1
inter_rater,3d47c3b9-21d9-4794-995d-52804115fb8b,17,backswing,496.0,81.0,523.0,100.0,33.015148038438355,1.4987080929608552,1,1,0
inter_rater,3d47c3b9-21d9-4794-995d-52804115fb8b,26,backswing,688.0,200.0,784.0,55.0,173.89939620366712,7.8940864402003115,1,1,1
inter_rater,3d47c3b9-21d9-4794-995d-52804115fb8b,36,impact_region,880.0,730.0,904.0,741.0,26.40075756488817,1.1984507528704385,1,1,0
inter_rater,3d47c3b9-21d9-4794-995d-52804115fb8b,37,impact_region,1197.0,948.0,1117.0,1052.0,131.20975573485381,5.956209027634694,1,1,1
inter_rater,3d47c3b9-21d9-4794-995d-52804115fb8b,40,follow_through,1008.0,576.0,941.0,633.0,87.96590248499699,3.993173370156613,1,1,1
inter_rater,42f8729a-ed28-45a2-bf9b-397d2d698bb0,1,backswing,1287.0,933.0,1260.0,987.0,60.37383539249432,2.7406436463792896,1,1,1
inter_rater,42f8729a-ed28-45a2-bf9b-397d2d698bb0,24,backswing,645.0,320.0,686.0,308.0,42.720018726587654,1.9392564201873144,1,1,0
inter_rater,42f8729a-ed28-45a2-bf9b-397d2d698bb0,43,backswing,864.0,381.0,816.0,250.0,139.51702405083043,6.333313811204229,1,1,1
inter_rater,42f8729a-ed28-45a2-bf9b-397d2d698bb0,46,downswing,876.0,393.0,869.0,418.0,25.96150997149434,1.1785113019775795,1,1,0
inter_rater,42f8729a-ed28-45a2-bf9b-397d2d698bb0,58,impact_region,1310.0,932.0,1145.0,1047.0,201.12185361118767,9.129837895242494,1,1,1
inter_rater,42f8729a-ed28-45a2-bf9b-397d2d698bb0,63,follow_through,878.0,358.0,842.0,368.0,37.36308338453881,1.6960807015369135,1,1,0
inter_rater,b95e3543-d28d-49db-be02-bbee7efb8425,0,backswing,1317.0,975.0,1305.0,944.0,33.24154027718932,1.50898506885097,1,1,0
inter_rater,b95e3543-d28d-49db-be02-bbee7efb8425,14,backswing,723.0,198.0,716.0,155.0,43.56604182158393,1.9776612656790413,1,1,0
inter_rater,b95e3543-d28d-49db-be02-bbee7efb8425,27,downswing,786.0,48.0,818.0,0.0,57.688820407423826,2.6187585746188584,1,1,1
inter_rater,b95e3543-d28d-49db-be02-bbee7efb8425,35,downswing,864.0,592.0,840.0,574.0,30.0,1.3618367767571082,1,1,0
inter_rater,b95e3543-d28d-49db-be02-bbee7efb8425,38,impact_region,1314.0,975.0,1329.0,876.0,100.12991560967181,4.545353384361224,1,1,1
inter_rater,b95e3543-d28d-49db-be02-bbee7efb8425,41,follow_through,837.0,300.0,865.0,267.0,43.278170016764804,1.9645934519859036,1,1,0
inter_rater,e7490da1-a2fa-4e53-ab66-4e9927d0b4d3,0,backswing,960.0,1483.0,999.0,1463.0,43.829214001622255,1.989607850792226,1,1,0
inter_rater,e7490da1-a2fa-4e53-ab66-4e9927d0b4d3,17,backswing,51.0,464.0,69.0,390.0,76.15773105863909,3.457146633001059,1,1,1
inter_rater,e7490da1-a2fa-4e53-ab66-4e9927d0b4d3,32,downswing,387.0,595.0,306.0,680.0,117.41379816699569,5.329947614751703,1,1,1
inter_rater,e7490da1-a2fa-4e53-ab66-4e9927d0b4d3,39,downswing,88.0,635.0,110.0,634.0,22.02271554554524,0.9997114651327996,1,0,0
inter_rater,e7490da1-a2fa-4e53-ab66-4e9927d0b4d3,43,impact_region,872.0,1331.0,956.0,1286.0,95.29428104561154,4.325841884751387,1,1,1
