phase,sessions_n,points_n,median_of_session_medians_px,median_px_ci_lower,median_px_ci_upper,median_of_session_medians_norm,median_norm_ci_lower,median_norm_ci_upper,median_of_session_medians_m,median_of_session_medians_club_fraction,point_level_p95_px,point_level_max_px,points_over_100px_n,points_over_250px_n,points_over_500px_n
all,25,260,14.375898331972504,12.689502044208933,18.172832725767996,0.008249477314601995,0.006871911386210837,0.00904534935454221,0.03885076784648888,0.03885076784648888,265.55450644163864,2472.976048461515,25,14,8
backswing,25,105,12.447294290848747,10.837176933569861,14.803294817226138,0.00671989043309215,0.005623465714462545,0.00961167795075378,0.03009624702855679,0.03009624702855679,45.481641867469726,104.32937598504925,2,0,0
downswing,24,44,13.403807439898832,8.886408914168937,15.390828801255681,0.006680109973573339,0.005055051274666432,0.009752632770259092,0.03349951721125479,0.03349951721125479,1589.1379553804295,2185.543188753039,5,5,3
follow_through,24,47,17.532128868543992,13.674255046032531,25.71043197572078,0.009184058091289322,0.0071539420756270705,0.014656404186710964,0.05037607332697534,0.05037607332697534,706.4922854872298,1434.1472618880675,8,6,3
impact_region,24,59,18.601952379058105,12.336037990636665,33.19937754000221,0.0088019581330173,0.008032891085983535,0.01968611543836466,0.04279282064639149,0.04279282064639149,237.9152981698128,2472.976048461515,9,3,2
transition,5,5,19.09604648113877,3.8950400922648445,144.22902844337,0.008668566129559314,0.0017681362815298884,0.11637187252808608,0.033354767219827865,0.033354767219827865,124.67839792261191,144.22902844337,1,0,0
