session_id,video_frames_decoded,landmark_frames,frame_count_difference,video_nominal_fps,video_median_dt_ms,video_max_dt_deviation_ms,video_variable_intervals,video_nonmonotonic_steps,landmark_median_dt_ms,landmark_max_dt_deviation_ms,landmark_nonmonotonic_steps,max_landmark_video_grid_difference_ms,max_annotation_pts_difference_ms
36b05de8-5e98-425f-8b72-8e505337e150,103,103,0,47.95232700693679,20.855555555555405,0.011111111111183902,False,0,20.854045307443368,10.427022653721664,0,10.4362998921248,0.01999999999990898
82f22494-5871-41de-aebc-9d2012ce6571,61,61,0,30.0,33.333333333333215,4.440892098500626e-13,False,0,33.33333333333333,15.888975472649502,0,15.888975472649502,0.0033333333335772153
c638dd17-dbb3-4068-bb40-957442fe9ec9,467,467,0,60.0,16.666666666666607,8.881784197001252e-13,False,0,16.666666666666607,8.183248258346154,0,8.183248258346154,0.00333333333379926
81681211-21c8-4d55-9d89-095b3a80d022,695,695,0,50.0,19.99999999999999,40.000000000000504,True,0,19.999999999999993,7.954103321324204,0,39.99999999999915,0.0
2850af90-f8fc-4050-a178-b659098e69df,83,83,0,30.0,33.33333333333333,33.3333333333331,True,0,33.33333333333333,19.520677522356976,0,33.333333333333215,0.0033333333333551707
2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,183,183,0,30.0,33.333333333333215,8.881784197001252e-13,False,0,33.333333333333215,23.89387965166989,0,14.577753494450896,0.00333333333379926
32fec03e-0046-4581-885b-ef0d7f174e53,200,200,0,30.0,33.333333333333215,8.881784197001252e-13,False,0,33.333333333333215,23.9178545672738,0,15.915878305504005,0.0033333333333551707
3d47c3b9-21d9-4794-995d-52804115fb8b,64,64,0,50.0,20.000000000000018,39.99999999999959,True,0,20.000000000000018,12.24222153368537,0,39.999999999999815,5.551115123125783e-14
42f8729a-ed28-45a2-bf9b-397d2d698bb0,84,84,0,50.0,20.000000000000018,40.000000000000036,True,0,20.000000000000018,9.179410224085416,0,40.000000000000256,2.220446049250313e-13
b95e3543-d28d-49db-be02-bbee7efb8425,64,64,0,50.0,20.000000000000018,39.99999999999959,True,0,20.000000000000018,5.496871431659056,0,39.999999999999815,1.1102230246251565e-13
e7490da1-a2fa-4e53-ab66-4e9927d0b4d3,67,67,0,50.0,20.000000000000018,4.440892098500626e-13,False,0,20.000000000000018,16.981139654546507,0,9.836609952434628,1.1102230246251565e-13
e940142a-d4bc-4cee-a6de-828b05ab40a7,74,74,0,50.0,20.000000000000018,40.000000000000036,True,0,20.000000000000018,9.995055680367848,0,40.000000000000036,1.1102230246251565e-13
eb859af6-2991-42e4-9345-05d3baf63c6e,424,424,0,30.0,33.333333333333215,1.7763568394002505e-12,False,0,33.333333333333215,19.286832402985787,0,13.284907947922697,0.0033333333346874383
f0647c16-5b92-48b6-a06a-d05d86fe8145,95,95,0,50.0,20.000000000000018,20.000000000000018,True,0,20.000000000000018,9.999689578148452,0,20.000000000000018,2.220446049250313e-13
57660e2f-8425-445f-bca0-17c6e557f1b0,1161,1161,0,50.0,19.999999999999574,39.99999999999915,True,0,19.999999999999574,8.101089855568233,0,39.99999999999915,0.0
332a7a76-cfa3-449e-9150-f93050fed050,89,88,1,50.0,20.000000000000018,4.440892098500626e-13,False,0,20.000000000000018,9.953682572740984,0,28.616051116875376,2.220446049250313e-13
7473617c-26a8-428f-9ba6-fc51dd7d2156,92,92,0,50.0,20.000000000000018,40.000000000000036,True,0,20.000000000000018,8.656082466233617,0,39.999999999999815,2.220446049250313e-13
7f7bf52f-1a8f-4c38-8d68-41b634af50ab,69,69,0,50.0,20.000000000000018,40.000000000000036,True,0,20.000000000000018,2.220446049250313e-13,0,39.999999999999815,1.1102230246251565e-13
82b83897-42aa-447f-82ea-5e471706e7c5,89,89,0,60.0,16.666666666666607,33.333333333333215,True,0,16.666666666666664,7.2215335954406985,0,33.333333333333215,0.003333333333410682
dfd57aa0-581d-4580-bc43-2a329277309b,301,301,0,30.0,33.333333333333215,1.7763568394002505e-12,False,0,33.333333333333215,10.864818033278656,0,10.864818033277768,0.00333333333379926
ed241630-f662-4957-b17f-1f485cf04683,99,99,0,50.0,20.000000000000018,4.440892098500626e-13,False,0,20.000000000000018,9.679857500230815,0,9.679857500231037,2.220446049250313e-13
ba749048-28f5-497e-8d85-fcbcfedb6f8c,300,300,0,59.94005994005994,16.683333333333383,4.440892098500626e-13,False,0,16.683333333333383,7.743209926824424,0,7.743209926824424,0.0033333333333551707
3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,300,300,0,59.94005994005994,16.683333333333383,4.440892098500626e-13,False,0,16.683333333333383,10.949049596421734,0,10.94904959642129,0.0033333333333551707
511a396b-aa38-4056-a980-76723ed0c05f,300,300,0,59.94005994005994,16.683333333333383,4.440892098500626e-13,False,0,16.683333333333383,7.559884021935304,0,7.559884021935304,0.0033333333333551707
48c9026f-11c4-410d-82ec-f33d477d9db6,423,423,0,29.92924528301887,33.333333333333215,66.66666666666643,True,0,33.41213553979494,15.635188484280915,0,66.74546887312616,19.61999999999975
