metric,scope,n,mean,sd,cv_percent,repeatability_coeff,sem,mdc_95,bias,loa_lower,loa_upper
max_speed,cross_session_dispersion,71,7.667207543794495,8.106700766295575,105.73211589735543,22.470628092799306,8.106700766295575,22.470628092799306,,,
max_ang_vel,cross_session_dispersion,71,9.656288765931068,19.028474386029984,197.05784331103982,52.744240034065605,19.028474386029984,52.744240034065605,,,
max_accel,cross_session_dispersion,71,158.80968226301127,293.071213572406,184.54240912530676,812.3519585514674,293.071213572406,812.3519585514674,,,
swing_tempo,cross_session_dispersion,71,0.601373029773433,0.7802984514836302,129.75281777727997,2.162876959462274,0.7802984514836302,2.162876959462274,,,
smoothness_index,cross_session_dispersion,71,-5.890729716846708,1.2748730129887547,21.64202185924074,3.5337677023334098,1.2748730129887547,3.5337677023334098,,,
path_efficiency,cross_session_dispersion,71,0.7346012257347606,0.2635614118214956,35.87816118301151,0.730554961307673,0.2635614118214956,0.730554961307673,,,
curvature_rms,cross_session_dispersion,71,1059.3597670862457,1689.810727203351,159.5124507938556,4683.916366578862,1689.810727203351,4683.916366578862,,,
backswing_duration,cross_session_dispersion,71,0.6660468029631768,1.518917497842658,228.0496642405824,4.210224502126791,1.518917497842658,4.210224502126791,,,
downswing_duration,cross_session_dispersion,71,1.4965876208069582,2.4782088574795638,165.59062917701516,6.869244490215834,2.4782088574795638,6.869244490215834,,,
backswing_peak_speed,cross_session_dispersion,71,0.9113323425837463,5.3783304599906625,590.1612626566498,14.907971443708519,5.3783304599906625,14.907971443708519,,,
downswing_peak_speed,cross_session_dispersion,71,7.667207543794495,8.106700766295575,105.73211589735543,22.470628092799306,8.106700766295575,22.470628092799306,,,
smoothness_index,bland_altman_full_vs_kalman_rts_despike,71,-7.536928964871825,0.4370018739458219,,,,,-0.752783025735032,-1.609306698668843,0.10374064719877896
path_efficiency,bland_altman_full_vs_kalman_rts_despike,71,0.10898576188157842,0.032285463511767906,,,,,-0.023413234894399147,-0.08669274337746424,0.03986627358866596
max_speed,bland_altman_full_vs_kalman_rts_despike,71,37.39350703612301,29.08929384019667,,,,,20.410532247544193,-36.604483679241284,77.42554817432966
max_accel,bland_altman_full_vs_kalman_rts_despike,71,1009.3660849222586,1378.6407823616244,,,,,854.3000000257865,-1847.835933402997,3556.43593345457
