session_id,pipeline_variant,valid_samples,stage_changed_points,mean_dev_m,p95_dev_m,max_dev_m,rms_jerk,smoothness_index,path_efficiency,max_speed,max_accel
052f8a05-916d-4300-badf-aa80d38d1c6d,raw,77,0,0.0,0.0,0.0,35528.485333345496,-9.101153385685562,0.010873998251634228,62.95834047711176,1505.9187861396474
052f8a05-916d-4300-badf-aa80d38d1c6d,median_only,77,76,0.3468660500713142,1.2305855172405016,2.1708261067574006,36529.935840968574,-9.125297818886589,0.015963587393594984,62.50621023338564,1549.2344760341052
052f8a05-916d-4300-badf-aa80d38d1c6d,kalman_only,9,76,0.3513073228970914,1.2550093673662606,1.4432362681142943,12149.695811005811,-8.169130809489173,0.50423606311482,4.885631056671237,243.79823366333628
052f8a05-916d-4300-badf-aa80d38d1c6d,kalman_rts,77,74,1.21373158997823,1.9050153746134084,2.141861901320417,0.2979058508028795,1.0518419296199224,0.07050699912021036,0.04601971391928298,0.013723572748609511
052f8a05-916d-4300-badf-aa80d38d1c6d,kalman_rts_despike,77,0,1.21373158997823,1.9050153746134084,2.141861901320417,0.2979058508028795,1.0518419296199224,0.07050699912021036,0.04601971391928298,0.013723572748609511
052f8a05-916d-4300-badf-aa80d38d1c6d,full_pipeline,77,77,0.02831800760655447,0.03475914840134624,0.03517082919548226,27075.80695569777,-8.865162818032145,0.007632494839634611,59.638267230250094,1502.9341678972028
0de5883a-0f0b-4e36-aa9d-2115230940b7,raw,69,0,0.0,0.0,0.0,47212.851307953824,-9.348120458812838,0.0825092198206986,64.49510842130952,2822.4444387888407
0de5883a-0f0b-4e36-aa9d-2115230940b7,median_only,69,66,0.3313653695587635,1.0883897684250912,2.4248602543357993,44931.34381988286,-9.305098815589446,0.176654247966129,57.13685464200839,2856.415380054104
0de5883a-0f0b-4e36-aa9d-2115230940b7,kalman_only,21,68,0.08050722646348232,0.3471431924860078,0.5763313752965522,1305.66246252886,-6.231661836867859,0.8312172690535021,1.2772381194607976,24.702793016006517
0de5883a-0f0b-4e36-aa9d-2115230940b7,kalman_rts,69,69,1.5890569851579825,3.1518398271763717,3.5032769671391635,0.7149795860967908,0.2914127149107385,0.8247927918873357,0.137221666148673,0.04092097423245983
0de5883a-0f0b-4e36-aa9d-2115230940b7,kalman_rts_despike,69,0,1.5890569851579825,3.1518398271763717,3.5032769671391635,0.7149795860967908,0.2914127149107385,0.8247927918873357,0.137221666148673,0.04092097423245983
0de5883a-0f0b-4e36-aa9d-2115230940b7,full_pipeline,69,69,0.019535246930207837,0.02573395891779082,0.026041255223829687,42592.766965198294,-9.258671708355243,0.08378019612714831,62.104440847319616,2694.282631628949
0f116f84-9ff5-4346-abf4-aa3ffef93b6a,raw,502,0,0.0,0.0,0.0,1972.3725596195452,-6.589977903669619,0.09493105487134604,20.39773339392685,438.8165104922399
0f116f84-9ff5-4346-abf4-aa3ffef93b6a,median_only,502,501,0.062944273022605,0.19238493216496724,1.1032034543988039,1992.9602001044325,-6.598997251643207,0.094752021285467,20.084117844876307,444.3428493369085
0f116f84-9ff5-4346-abf4-aa3ffef93b6a,kalman_only,467,501,0.06984543992052043,0.26737234091175954,1.0193891274263267,302.4412832357246,-4.961282144146139,0.137456299397555,5.006743216515941,52.79041025594619
0f116f84-9ff5-4346-abf4-aa3ffef93b6a,kalman_rts,502,501,1.6680480084271538,3.659157207534458,3.7992005386475345,0.23146342421400137,1.2710352445293072,0.3845419632813426,0.22926935722286584,0.041002781253306475
0f116f84-9ff5-4346-abf4-aa3ffef93b6a,kalman_rts_despike,502,0,1.6680480084271538,3.659157207534458,3.7992005386475345,0.23146342421400137,1.2710352445293072,0.3845419632813426,0.22926935722286584,0.041002781253306475
0f116f84-9ff5-4346-abf4-aa3ffef93b6a,full_pipeline,502,502,0.05238169801234147,0.0657061331710412,0.07013996917880577,1456.1108271081364,-6.326388862275153,0.09561486837716465,16.945726195625987,352.5237619184379
15f312b0-d99c-4535-8c57-5b099a1428be,raw,649,0,0.0,0.0,0.0,516.0519628219762,-5.425386868489434,0.058374550662765645,8.37261591610645,77.23494690904447
