scenario,metric,n,median_abs_symmetric_pct_change,median_abs_change_ci_lower,median_abs_change_ci_upper,mean_abs_symmetric_pct_change,p95_abs_symmetric_pct_change,rank_stability_spearman,rank_stability_ci_lower,rank_stability_ci_upper,response_class
combined_degradation,max_speed,71,83.6379371986442,51.83059291901155,111.8330346922304,84.84193776720691,171.70415117647389,0.19232059020791414,-0.036536558260481265,0.4146982064717992,high
combined_degradation,max_ang_vel,70,79.17256569768165,57.20678671539805,122.60709098655647,98.53696916250321,198.9733617273398,0.2453529423682109,-0.013213977476895315,0.49568138843825094,high
combined_degradation,max_accel,71,92.99254924042354,63.97502669267884,115.26790604112446,90.90957897901421,170.27544079527547,0.16804158283031523,-0.05754543234950606,0.3929900778667126,high
combined_degradation,swing_tempo,71,113.04347826086956,82.35294117647058,129.41176470588238,110.58312819435771,200.0,0.04544692169263583,-0.1917551407478889,0.2737544712813684,high
combined_degradation,smoothness_index,71,10.576537487038987,6.746933295086667,15.857030554506661,15.428854826680906,43.01266971286863,0.531421864520456,0.32918871749188927,0.6812216704439891,moderate
combined_degradation,path_efficiency,71,28.89144478395074,14.936360294823382,40.52523591868587,45.774583475430525,183.56503907890874,0.26324444711702716,0.0023146176443040083,0.5166328455948102,high
combined_degradation,curvature_rms,71,157.70611699268602,138.47628321985286,177.49660078986616,137.4287346995305,200.0,0.6138232424172841,0.443744276604114,0.7483600646759471,high
combined_degradation,backswing_peak_speed,71,176.91481127695116,152.8717190117961,188.62010397458397,145.85926699452426,200.0,-0.014475659941909563,-0.261810896430243,0.23542921910346049,high
frame_thinning_2x,max_speed,71,41.32762804899493,29.923381423630367,53.01474643861043,54.811534772695815,147.57151982123884,0.29252179745137485,0.003801700340180543,0.5264182676454419,high
frame_thinning_2x,max_ang_vel,69,56.675118397453474,37.673448504433786,80.44581581803882,82.36781390313698,197.40794264483281,0.3618969367180808,0.0638792579393961,0.6087996074308654,high
frame_thinning_2x,max_accel,71,69.2487738023154,52.8515451843023,89.34860224330404,73.16172341664546,149.4480448023304,0.41820925553319915,0.1854378992446803,0.6347382554009422,high
frame_thinning_2x,swing_tempo,71,58.74460948730234,48.54368932038835,76.19047619047622,79.60276122474366,200.0,0.4136863922296897,0.17105414769767904,0.604926004153316,high
frame_thinning_2x,smoothness_index,71,13.737543625890345,10.403687342096662,16.636457928049442,15.917190744128883,37.679953327619515,0.7260898725687457,0.5948823717756121,0.8147519141568441,moderate
frame_thinning_2x,path_efficiency,71,8.297524033340654,6.585241520618322,12.737155679897855,24.3950561939282,127.67174884069414,0.6316107183537589,0.41205771202692115,0.8115413516429397,low
frame_thinning_2x,curvature_rms,71,109.34579923192022,78.35265600579416,121.02136811089801,101.4761289550364,193.1375349716538,0.8894329124019538,0.8194293976173977,0.9332747614706961,high
frame_thinning_2x,backswing_peak_speed,71,41.66819781387454,29.277208314477516,58.33413275496383,63.12385520075078,198.90592212122607,0.5151413531184078,0.24691195513234426,0.7718440146486041,high
frame_thinning_3x,max_speed,71,46.99394616661513,38.4503731179848,82.2305834994887,68.29596988125394,167.13105328475655,0.028638497652582157,-0.2347080438615856,0.27929811946999233,high
frame_thinning_3x,max_ang_vel,70,95.6005056923114,63.29326099881482,113.60414508431977,103.37075402701942,199.99999999999997,0.10500897167548408,-0.1446022659581422,0.37127539022891065,high
frame_thinning_3x,max_accel,71,82.75971234040269,50.76422769218123,102.62170732858733,84.50789023169905,189.12267930182188,0.13812877263581488,-0.13051504194437483,0.3918442166636973,high
frame_thinning_3x,swing_tempo,70,89.22560894777894,66.66666666666667,116.46297314184505,92.77153417371723,194.3157894736842,0.08136628706375383,-0.17790022475105485,0.3258359094577223,high
frame_thinning_3x,smoothness_index,71,17.062892784502296,12.795217365177985,26.62005867518429,27.593116654383284,72.0411350469816,0.430114017437961,0.17979116915324458,0.6424092160021481,moderate
frame_thinning_3x,path_efficiency,71,20.029817249492226,11.05489043145479,25.424039020621148,42.069825094250746,178.79592823860094,0.3444644729658012,0.06692098948083695,0.5903816997584044,moderate
frame_thinning_3x,curvature_rms,70,138.54544594490937,113.33330790241111,150.28257404734063,124.43085763415056,198.9195538459356,0.8525722717821449,0.7654444338296906,0.9078185850966031,high
