session_id,point_name,frame_idx,phase,auto_x_px,auto_y_px,ref_x_px,ref_y_px,error_px,error_norm,error_m,error_visible_club_fraction,viewpoint,fps_bucket,resolution_bucket,quality_grade,motion_class,club,quality_note
2850af90-f8fc-4050-a178-b659098e69df,stick_tip_1,33,backswing,378.91345704787875,639.8011755902708,384.0,642.0,5.541457208045145,0.004471150910426293,0.0323480486965755,0.0323480486965755,dtl,<=30,<720p,medium,regular,driver,
2850af90-f8fc-4050-a178-b659098e69df,stick_tip_1,40,backswing,327.3240440072788,638.028803778103,336.0,646.0,11.781858155470202,0.009506247876797621,0.0682102956143235,0.0682102956143235,dtl,<=30,<720p,medium,regular,driver,
2850af90-f8fc-4050-a178-b659098e69df,stick_tip_1,44,backswing,108.83464749492303,485.8929431907607,51.0,416.0,90.71863071458317,0.07319675548937862,0.5257821000836338,0.5257821000836338,dtl,<=30,<720p,medium,regular,driver,
2850af90-f8fc-4050-a178-b659098e69df,stick_tip_1,49,backswing,105.58807775411736,377.8725473134646,105.0,370.0,7.894481404603266,0.006369699592426731,0.0448431638435435,0.0448431638435435,dtl,<=30,<720p,medium,regular,driver,
2850af90-f8fc-4050-a178-b659098e69df,stick_tip_1,52,backswing,158.29879420888798,416.5741076516756,153.0,408.0,10.079312580263942,0.00813254094144963,0.058290461782490435,0.058290461782490435,dtl,<=30,<720p,medium,regular,driver,
2850af90-f8fc-4050-a178-b659098e69df,stick_tip_1,56,downswing,96.23262607430674,372.62271554407636,90.0,364.0,10.639400882389207,0.008584450832286795,0.06301960517653128,0.06301960517653128,dtl,<=30,<720p,medium,regular,driver,
2850af90-f8fc-4050-a178-b659098e69df,stick_tip_1,57,impact_region,94.71011064616997,374.3409427231992,84.0,368.0,12.446446266790213,0.010042473932044054,0.07416548723788087,0.07416548723788087,dtl,<=30,<720p,medium,regular,driver,
2850af90-f8fc-4050-a178-b659098e69df,stick_tip_1,59,impact_region,372.9848543674717,631.1381084534863,387.0,651.0,24.30882644033743,0.019613691379284575,0.14659408260308537,0.14659408260308537,dtl,<=30,<720p,medium,regular,driver,
2850af90-f8fc-4050-a178-b659098e69df,stick_tip_1,60,impact_region,324.88195591294516,570.5891188231191,333.0,573.0,8.46847021890051,0.00683282517713642,0.051375420841199684,0.051375420841199684,dtl,<=30,<720p,medium,regular,driver,
2850af90-f8fc-4050-a178-b659098e69df,stick_tip_1,63,follow_through,136.54265124126692,366.31328172381996,140.0,381.0,15.088172658191386,0.012173963342963329,0.09319251133282297,0.09319251133282297,dtl,<=30,<720p,medium,regular,driver,
