group,value,unit,n,mean,median,p95,max
phase,backswing,error_px,60,42.93195276240645,38.06106870671069,89.83909833907538,120.78123222931029
phase,backswing,error_norm,60,0.023673477039505224,0.019429602360068132,0.05381740802521968,0.0722704823441457
phase,backswing,error_m,60,0.11854808721210275,0.09511677076895744,0.3038425804658661,0.518002899636514
phase,backswing,error_visible_club_fraction,60,0.11854808721210275,0.09511677076895744,0.3038425804658661,0.518002899636514
phase,downswing,error_px,26,70.20300686801012,59.85916840130358,105.31456641037283,397.2960047640009
phase,downswing,error_norm,26,0.04211627438946581,0.028927189669902056,0.06820745179188006,0.320560157142482
phase,downswing,error_m,26,0.206064199638818,0.16868747441999388,0.39075996981297306,1.1087147584338346
phase,downswing,error_visible_club_fraction,26,0.206064199638818,0.16868747441999388,0.39075996981297306,1.1087147584338346
phase,follow_through,error_px,33,161.74818307171662,53.880842443232666,498.3004347265095,2492.878521814849
phase,follow_through,error_norm,33,0.08009287011930599,0.03285271978062943,0.25064576234477015,1.1316312169984528
phase,follow_through,error_m,33,0.4368000842910428,0.15677459651495068,1.6831286090148596,5.7520873651111994
phase,follow_through,error_visible_club_fraction,33,0.4368000842910428,0.15677459651495068,1.6831286090148596,5.7520873651111994
phase,impact_region,error_px,23,170.0067809575653,50.50721887055599,361.7608029940483,2103.030264972346
phase,impact_region,error_norm,23,0.08124622870311866,0.022927529383214587,0.17166267079714762,0.9546613191575289
phase,impact_region,error_m,23,0.41475734177598467,0.1585145688335576,0.8498493883330931,4.931299315964214
phase,impact_region,error_visible_club_fraction,23,0.41475734177598467,0.1585145688335576,0.8498493883330931,4.931299315964214
phase,transition,error_px,8,63.29547419703068,64.43381687000876,94.69461139412081,98.86724033142946
phase,transition,error_norm,8,0.03429244473117295,0.032456185969168785,0.059607619652751055,0.06732052194991213
phase,transition,error_m,8,0.15794063827113305,0.16107133675156804,0.2602593616575988,0.2994891416441186
phase,transition,error_visible_club_fraction,8,0.15794063827113305,0.16107133675156804,0.2602593616575988,0.2994891416441186
overall,all,error_px,150,94.3693676085303,44.40147534516689,169.0565942639465,2492.878521814849
