phase,sessions_n,points_n,median_of_session_medians_px,median_px_ci_lower,median_px_ci_upper,median_of_session_medians_norm,median_norm_ci_lower,median_norm_ci_upper,median_of_session_medians_m,median_of_session_medians_club_fraction,point_level_p95_px,point_level_max_px,points_over_100px_n,points_over_250px_n,points_over_500px_n
all,25,150,46.2000412625373,41.400662128720555,51.85455924025622,0.025430456803219217,0.019777478766613128,0.028841251477471058,0.1356593010276272,0.1356593010276272,169.0565942639465,2492.878521814849,22,5,3
backswing,25,60,38.50791820647327,34.24165154018847,47.52178945548242,0.019386070754769714,0.01687677485401837,0.02261932627665751,0.09003841249768832,0.09003841249768832,89.83909833907538,120.78123222931029,2,0,0
downswing,17,26,57.43411881749243,42.59262208531584,73.98226528424802,0.03322801155068108,0.022008821083940016,0.039214903586385616,0.180611232410628,0.180611232410628,105.31456641037283,397.2960047640009,4,1,0
follow_through,22,33,45.48283488785901,31.115551777957158,68.59062345868756,0.02658357317344716,0.016059836009909387,0.03762514100091667,0.1424614146221177,0.1424614146221177,498.3004347265095,2492.878521814849,9,2,2
impact_region,16,23,55.884504955429286,35.97213867137657,140.47984225772447,0.026966331049367645,0.016773076364014643,0.06377020519320217,0.19787733090416443,0.19787733090416443,361.7608029940483,2103.030264972346,7,2,1
transition,8,8,64.43381687000876,30.59053360818461,86.9454433676905,0.032456185969168785,0.02082965684412506,0.045283658243737666,0.16107133675156804,0.16107133675156804,94.69461139412081,98.86724033142946,0,0,0
