session_id,scenario,session_seed,processed,max_speed_baseline,max_speed_scenario,max_speed_delta,max_speed_pct_change,max_speed_symmetric_pct_change,max_ang_vel_baseline,max_ang_vel_scenario,max_ang_vel_delta,max_ang_vel_pct_change,max_ang_vel_symmetric_pct_change,max_accel_baseline,max_accel_scenario,max_accel_delta,max_accel_pct_change,max_accel_symmetric_pct_change,swing_tempo_baseline,swing_tempo_scenario,swing_tempo_delta,swing_tempo_pct_change,swing_tempo_symmetric_pct_change,smoothness_index_baseline,smoothness_index_scenario,smoothness_index_delta,smoothness_index_pct_change,smoothness_index_symmetric_pct_change,path_efficiency_baseline,path_efficiency_scenario,path_efficiency_delta,path_efficiency_pct_change,path_efficiency_symmetric_pct_change,curvature_rms_baseline,curvature_rms_scenario,curvature_rms_delta,curvature_rms_pct_change,curvature_rms_symmetric_pct_change,backswing_peak_speed_baseline,backswing_peak_speed_scenario,backswing_peak_speed_delta,backswing_peak_speed_pct_change,backswing_peak_speed_symmetric_pct_change
052f8a05-916d-4300-badf-aa80d38d1c6d,frame_thinning_2x,1747554356,True,59.6386512356289,47.351329633897656,-12.287321601731243,-20.602950179380713,-22.96910701706833,118.09197051019416,69.61104573838686,-48.480924771807295,-41.05353188904764,-51.65705457562011,2322.941129417903,1007.2729817209882,-1315.6681476969147,-56.63803232183516,-79.0140275543408,0.5416666666666667,0.11764705882352941,-0.4240196078431373,-78.28054298642535,-128.62453531598513,-9.111265873158928,-8.286417783635917,0.8248480895230106,-9.05305696273169,9.482274833763373,0.016598091486568652,0.016938012114580608,0.00033992062801195544,2.0479500808091267,2.027192139281837,16.733524135937536,10.28556516093407,-6.447958975003466,-38.533179996170624,-47.72891420696434,46.45882258835806,35.34029035549471,-11.118532232863352,-23.93201466033171,-27.184970185422802
052f8a05-916d-4300-badf-aa80d38d1c6d,frame_thinning_3x,1747554356,True,59.6386512356289,0.0,-59.6386512356289,-100.0,-200.0,118.09197051019416,0.0,-118.09197051019416,-100.0,-200.0,2322.941129417903,0.0,-2322.941129417903,-100.0,-200.0,0.5416666666666667,0.0,-0.5416666666666667,-100.0,-200.0,-9.111265873158928,0.0,9.111265873158928,-100.0,200.0,0.016598091486568652,0.0,-0.016598091486568652,-100.0,-200.0,16.733524135937536,0.0,-16.733524135937536,-100.0,-200.0,46.45882258835806,0.0,-46.45882258835806,-100.0,-200.0
052f8a05-916d-4300-badf-aa80d38d1c6d,landmark_dropout_5pct,1747554356,True,59.6386512356289,59.75494009818062,0.11628886255171977,0.1949890886906029,0.19479917012729886,118.09197051019416,118.09197051019416,0.0,0.0,0.0,2322.941129417903,2322.941129417903,0.0,0.0,0.0,0.5416666666666667,0.13846153846153844,-0.4032051282051283,-74.43786982248521,-118.56738925541944,-9.111265873158928,-9.112721010506801,-0.001455137347873503,0.015970748391397765,-0.01596947316920812,0.016598091486568652,0.016801247941130092,0.00020315645456144005,1.223974784847019,1.2165297759928648,16.733524135937536,16.6937382945922,-0.039785841345334916,-0.23776128101963512,-0.23804426957199923,46.45882258835806,46.45882258835806,0.0,0.0,0.0
052f8a05-916d-4300-badf-aa80d38d1c6d,landmark_dropout_10pct,1747554356,True,59.6386512356289,58.81375155952645,-0.8248996761024472,-1.383162863364089,-1.39279517618394,118.09197051019416,118.66929478502074,0.5773242748265801,0.4888768239977359,0.487684735175512,2322.941129417903,2322.941129417903,0.0,0.0,0.0,0.5416666666666667,0.13846153846153844,-0.4032051282051283,-74.43786982248521,-118.56738925541944,-9.111265873158928,-9.202852160584463,-0.09158628742553532,1.005198275415728,-1.0001714224707894,0.016598091486568652,0.023727848775834268,0.007129757289265615,42.95528371460712,35.360649958175436,16.733524135937536,17.60141923278356,0.8678950968460235,5.186564944691476,5.055462521232349,46.45882258835806,46.45882258835806,0.0,0.0,0.0
052f8a05-916d-4300-badf-aa80d38d1c6d,landmark_dropout_20pct,1747554356,True,59.6386512356289,58.46507846004763,-1.1735727755812704,-1.9678056952437633,-1.9873593807837755,118.09197051019416,118.66929478502074,0.5773242748265801,0.4888768239977359,0.487684735175512,2322.941129417903,2322.9337554250574,-0.007373992845714383,-0.0003174420889246644,-0.0003174425927728632,0.5416666666666667,0.04225352112676056,-0.4994131455399062,-92.19934994582883,-171.05527638190955,-9.111265873158928,-9.569899042445055,-0.4586331692861272,5.033693184579592,-4.910113168617666,0.016598091486568652,0.015213696877317716,-0.0013843946092509368,-8.34068549610781,-8.70365786050897,16.733524135937536,8.282203978638613,-8.451320157298923,-50.505321465121355,-67.56805253551276,46.45882258835806,46.45867510850115,-0.00014747985691343501,-0.0003174420889228291,-0.00031744259277102793
052f8a05-916d-4300-badf-aa80d38d1c6d,jitter_sigma_0p004,1747554356,True,59.6386512356289,59.61518900254391,-0.023462233084991624,-0.03934065006315063,-0.03934839001936213,118.09197051019416,107.26635717121455,-10.825613338979608,-9.167103649985329,-9.607466873186851,2322.941129417903,2226.932864135231,-96.00826528267226,-4.133047715536837,-4.22026040363797,0.5416666666666667,1.4333333333333333,0.8916666666666666,164.61538461538458,90.29535864978902,-9.111265873158928,-9.069216903198527,0.042048969960401195,-0.46150524576693724,0.46257264427634637,0.016598091486568652,0.026071462600543435,0.009473371113974782,57.07506264585137,44.403422143265935,16.733524135937536,17.659514151747587,0.9259900158100507,5.533741776613333,5.384752623856517,46.45882258835806,44.53865728270462,-1.9201653056534411,-4.133047715536829,-4.220260403637961
052f8a05-916d-4300-badf-aa80d38d1c6d,jitter_sigma_0p008,1747554356,True,59.6386512356289,59.829498854889316,0.19084761926041693,0.3200065985838427,0.3194953954101008,118.09197051019416,109.2230792382597,-8.868891271934459,-7.5101560534709355,-7.803171221394048,2322.941129417903,2138.4361195885654,-184.50500982933772,-7.942732921327719,-8.271213104447792,0.5416666666666667,0.12307692307692307,-0.41858974358974366,-77.27810650887574,-125.94021215043395,-9.111265873158928,-9.062692065592985,0.04857380756594232,-0.5331181006256983,0.5345429732988377,0.016598091486568652,0.03519202014057395,0.0185939286540053,112.0244979312935,71.804937544334,16.733524135937536,11.385876639727076,-5.34764749621046,-31.957688367184133,-38.03528772802639,46.45882258835806,42.768722391771306,-3.690100196586755,-7.94273292132772,-8.271213104447794
052f8a05-916d-4300-badf-aa80d38d1c6d,scale_minus_10pct,1747554356,True,59.6386512356289,53.67478611206601,-5.96386512356289,-10.0,-10.526315789473685,118.09197051019416,118.09197051019416,0.0,0.0,0.0,2322.941129417903,2090.6470164761126,-232.29411294179044,-10.000000000000005,-10.52631578947369,0.5416666666666667,0.5416666666666667,0.0,0.0,0.0,-9.111265873158928,-9.019750892037578,0.09151498112134959,-1.0044156585414274,1.0094853731205817,0.016598091486568652,0.0165980914865686,-5.204170427930421e-17,-3.1354029058953495e-13,-3.135402905895354e-13,16.733524135937536,18.592804595487177,1.859280459549641,11.111111111117241,10.526315789479186,46.45882258835806,41.812940329522256,-4.645882258835805,-9.999999999999996,-10.52631578947368
052f8a05-916d-4300-badf-aa80d38d1c6d,scale_minus_5pct,1747554356,True,59.6386512356289,56.656718673847486,-2.981932561781413,-4.999999999999946,-5.128205128205071,118.09197051019416,118.09197051019416,0.0,0.0,0.0,2322.941129417903,2206.794072947008,-116.14705647089522,-5.000000000000003,-5.128205128205131,0.5416666666666667,0.5416666666666667,0.0,0.0,0.0,-9.111265873158928,-9.066713083736625,0.04455278942230301,-0.4889857242949305,0.4901841896500002,0.016598091486568652,0.016598091486568625,-2.7755575615628914e-17,-1.6722148831441863e-13,-1.6722148831441878e-13,16.733524135937536,17.614235932566704,0.8807117966291678,5.263157894742079,5.1282051282101,46.45882258835806,44.135881458940155,-2.322941129417906,-5.000000000000006,-5.128205128205134
052f8a05-916d-4300-badf-aa80d38d1c6d,scale_plus_5pct,1747554356,True,59.6386512356289,62.62058379741032,2.98193256178142,4.999999999999958,4.878048780487765,118.09197051019416,118.09197051019416,0.0,0.0,0.0,2322.941129417903,2439.088185888798,116.14705647089477,4.999999999999984,4.878048780487789,0.5416666666666667,0.5416666666666667,0.0,0.0,0.0,-9.111265873158928,-9.153644471298804,-0.042378598139876544,0.46512305457708747,-0.46404386707253475,0.016598091486568652,0.016598091486568628,-2.42861286636753e-17,-1.463188022751163e-13,-1.463188022751164e-13,16.733524135937536,15.936689653274282,-0.7968344826632539,-4.761904761902143,-4.878048780485057,46.45882258835806,48.78176371777596,2.3229411294178988,4.99999999999999,4.878048780487796
