session_id,session_folder,processed,frames_json,frames_video_cv,video_fps_cv,width_cv,height_cv,resource_status,filename,tags,capture_tags,mocap_status,view_id,preset_id,video_width,video_height,video_duration_s,video_frames_meta,video_fps_meta,is_slow_motion,max_speed,max_ang_vel,max_accel,swing_tempo,smoothness_index,path_efficiency,curvature_rms,backswing_duration,downswing_duration,backswing_peak_speed,downswing_peak_speed,impact_time_auto_s,transition_time_auto_s,impact_idx_auto,transition_idx_auto
052f8a05-916d-4300-badf-aa80d38d1c6d,C:\Users\isinu\Downloads\Telegram Desktop\7a0c087a-b6c7-42ea-bc67-63453d4cac7f\052f8a05-916d-4300-badf-aa80d38d1c6d,True,77,77,50.0,1920,1080,processed,video_processed.mp4,Keyframes Issue; Slow Motion; Driver; Male; Right Handed; Outdoor; DTL; Straight,view=dtl; gender=unknown; club=unknown; environment=unknown; handedness=right; motion_blur=none; occlusion=none,2d_processed,dtl,DEFAULT_DTL_FEMALE_DRIVER_RIGHT,1920.0,1080.0,1.56,77.0,50.0,False,59.6386512356289,118.09197051019416,2322.941129417903,0.5416666666666667,-9.111265873158928,0.016598091486568652,16.733524135937536,0.52,0.96,46.45882258835806,59.6386512356289,1.48,0.52,74,26
0de5883a-0f0b-4e36-aa9d-2115230940b7,C:\Users\isinu\Downloads\Telegram Desktop\7a0c087a-b6c7-42ea-bc67-63453d4cac7f\0de5883a-0f0b-4e36-aa9d-2115230940b7,True,69,69,50.0,1920,1080,processed,video_processed.mp4,Keyframes Issue; Regular; Driver; Male; Right Handed; Outdoor; DTL; Straight,view=dtl; gender=unknown; club=unknown; environment=unknown; handedness=right; motion_blur=none; occlusion=none,2d_processed,dtl,DEFAULT_DTL_FEMALE_DRIVER_RIGHT,1920.0,1080.0,1.4,69.0,50.0,False,4.266535957085122,0.05791658344833642,65.95108964563113,0.05882352941176471,-6.582228979920482,0.8931781117073271,427.35855462042684,0.02,0.33999999999999997,0.026664453461652242,4.266535957085122,0.36,0.02,18,1
0f116f84-9ff5-4346-abf4-aa3ffef93b6a,C:\Users\isinu\Downloads\Telegram Desktop\7a0c087a-b6c7-42ea-bc67-63453d4cac7f\0f116f84-9ff5-4346-abf4-aa3ffef93b6a,True,502,537,30.0,608,1080,processed,video_processed.mp4,Keyframes Issue; Regular; Iron; Female; Right Handed; Outdoor; DTL; Straight,view=dtl; gender=unknown; club=unknown; environment=unknown; handedness=right; motion_blur=none; occlusion=none,2d_processed,dtl,DEFAULT_DTL_FEMALE_DRIVER_RIGHT,608.0,1080.0,16.767,537.0,30.0,False,16.977686039664075,63.67600793781223,292.6608085644573,0.6331658291457286,-6.281787664225782,0.09070101639208239,314.8117368457222,4.2,6.633333333333334,0.6905902570333621,16.977686039664075,10.833333333333334,4.2,325,126
15f312b0-d99c-4535-8c57-5b099a1428be,C:\Users\isinu\Downloads\Telegram Desktop\7a0c087a-b6c7-42ea-bc67-63453d4cac7f\15f312b0-d99c-4535-8c57-5b099a1428be,True,649,649,23.976023976023978,960,1080,processed,video_processed.mp4,Driver; Female; Pro; Right Handed; DTL; Super Slow Motion; Outdoor,view=dtl; gender=unknown; club=unknown; environment=unknown; handedness=right; motion_blur=none; occlusion=none,2d_processed,dtl,DEFAULT_DTL_FEMALE_DRIVER_RIGHT,960.0,1080.0,27.068708,649.0,23.976023976023978,False,6.907850389314786,42.54266020518688,24.582475862822026,0.0617283950617284,-4.624693165419135,0.20705524831703237,6145.377637750479,0.8341666666666667,13.5135,0.003398775431699211,6.907850389314786,14.347666666666667,0.8341666666666667,344,20
1923a324-7b77-4d06-a3a6-8a7fd6e6fd8b,C:\Users\isinu\Downloads\Telegram Desktop\7a0c087a-b6c7-42ea-bc67-63453d4cac7f\1923a324-7b77-4d06-a3a6-8a7fd6e6fd8b,True,177,252,29.832056570418384,1080,1920,processed,video_processed.mp4,Keyframes Issue; Regular; Driver; Female; Right Handed; Outdoor; DTL; Straight,view=dtl; gender=unknown; club=unknown; environment=unknown; handedness=right; motion_blur=none; occlusion=none,2d_processed,dtl,DEFAULT_DTL_FEMALE_DRIVER_RIGHT,1080.0,1920.0,5.961,252.0,29.832056570418384,False,9.444906390199495,5.421539338962999,140.863533903107,6.444444444444449,-4.689783174445091,0.5311369293985478,349.94394540411105,3.8884345679012347,0.6033777777777773,0.5390452892896503,9.444906390199495,4.491812345679012,3.8884345679012347,134,116
1efface8-4d43-4627-bf20-1017135f0a83,C:\Users\isinu\Downloads\Telegram Desktop\7a0c087a-b6c7-42ea-bc67-63453d4cac7f\1efface8-4d43-4627-bf20-1017135f0a83,True,328,328,30.0,720,1280,,,,,,,,,,,,,,2.5608734324408426,1.7160377797538755,34.86709392959304,0.38,-4.477885952288066,0.9637698599226171,571.8757172661597,0.6333333333333333,1.6666666666666665,0.02070910528336316,2.5608734324408426,2.3,0.6333333333333333,69,19
2850af90-f8fc-4050-a178-b659098e69df,C:\Users\isinu\Downloads\Telegram Desktop\7a0c087a-b6c7-42ea-bc67-63453d4cac7f\2850af90-f8fc-4050-a178-b659098e69df,True,83,142,30.0,608,1080,processed,video_processed.mp4,Keyframes Issue; Regular; Driver; Female; Right Handed; Outdoor; DTL; Straight,view=dtl; gender=unknown; club=unknown; environment=unknown; handedness=right; motion_blur=none; occlusion=none,2d_processed,dtl,DEFAULT_DTL_FEMALE_DRIVER_RIGHT,608.0,1080.0,2.8,142.0,30.0,False,13.317813485295408,11.178030137448454,163.95826944094773,0.6153846153846154,-6.699313300640087,0.758780846786702,259.9091127826934,0.5333333333333333,0.8666666666666666,0.21941607758723183,13.317813485295408,1.4,0.5333333333333333,42,16
2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,C:\Users\isinu\Downloads\Telegram Desktop\7a0c087a-b6c7-42ea-bc67-63453d4cac7f\2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,True,183,183,30.0,1080,1920,processed,video_processed.mp4,Keyframes Issue; Regular; Driver; Female; Right Handed; Outdoor; DTL; Straight,view=dtl; gender=unknown; club=unknown; environment=unknown; handedness=right; motion_blur=none; occlusion=none,2d_processed,dtl,DEFAULT_DTL_FEMALE_DRIVER_RIGHT,1080.0,1920.0,6.131,183.0,30.0,False,3.9463757534054857,3.4685027470061045,13.770209417751039,1.0714285714285714,-3.274376444924788,0.9526611621044813,301.534588547921,0.5,0.4666666666666667,0.08065913922440116,3.9463757534054857,0.9666666666666667,0.5,29,15
2d1d534f-da92-4cd2-830b-7c8b6382e676,C:\Users\isinu\Downloads\Telegram Desktop\7a0c087a-b6c7-42ea-bc67-63453d4cac7f\2d1d534f-da92-4cd2-830b-7c8b6382e676,True,649,649,23.976023976023978,768,1080,processed,video_processed.mp4,Slow Motion; Iron; Male; Right Handed; Outdoor; DTL; Straight,view=dtl; gender=unknown; club=unknown; environment=unknown; handedness=right; motion_blur=none; occlusion=none,2d_processed,dtl,DEFAULT_DTL_FEMALE_DRIVER_RIGHT,768.0,1080.0,27.068708,649.0,23.976023976023978,False,4.6894496690507825,41.807987424785054,19.73564913864541,0.29411764705882354,-4.260757130441343,0.019186367008026485,1091.575951622976,3.75375,12.76275,0.11539126605983155,4.6894496690507825,16.5165,3.75375,396,90
2e777553-6d50-42a0-9b93-ba0d32a6d98a,C:\Users\isinu\Downloads\Telegram Desktop\7a0c087a-b6c7-42ea-bc67-63453d4cac7f\2e777553-6d50-42a0-9b93-ba0d32a6d98a,True,223,237,59.92583019610046,720,1280,processed,video_processed.mp4,Slow Motion; Iron; Male; Right Handed; Simulator; DTL; Straight,view=dtl; gender=male; club=iron; environment=indoor_simulator; handedness=right; fps=v120; motion_blur=high; occlusion=none,2d_processed,dtl,DEFAULT_DTL_MALE_IRON_RIGHT,720.0,1280.0,3.727,237.0,59.92583019610046,False,3.836840666938541,1.188920084252708,43.98126612243774,0.9687499999999998,-4.231858599705193,0.8121142594834744,1559.575729083949,0.5173061415846226,0.5339934364744493,0.027085576866830847,3.836840666938541,1.051299578059072,0.5173061415846226,63,31
