metric,n_sessions,mean,std,cv_percent,repeatability_coeff,min,max
smoothness_index,71,-5.817023955687704,1.2461561480318375,21.42257204929309,3.4541686137472283,-9.111265873158928,-3.274376444924788
path_efficiency,71,0.7403716473722287,0.2634330024759708,35.58118458627676,0.7301990287612387,0.016598091486568652,1.0
max_speed,71,7.612883902596169,8.115725891282237,106.60514458278534,22.495644462949475,0.43272214991852365,59.6386512356289
downswing_peak_speed,71,7.612883902596169,8.115725891282237,106.60514458278534,22.495644462949475,0.43272214991852365,59.6386512356289
backswing_duration,71,0.6667376955760385,1.1016519105662321,165.23018240545747,3.053623302956515,0.0,6.2
curvature_rms,71,1064.0803177117493,1858.769210021659,174.6831680919395,5152.245387222943,0.0,9844.839925051721
downswing_duration,71,1.4958967281940965,2.6762161844972807,178.90380626262288,7.418092798958526,0.02,13.5135
max_ang_vel,71,11.815384311768788,22.466380714839328,190.14515416533297,62.27363019655173,0.0,118.09197051019416
swing_tempo,71,0.9246176561716277,1.761642558870649,190.52659735751928,4.88302404566469,0.0,11.99999999999999
max_accel,71,151.20268464679444,297.1309929897364,196.51171782024025,823.6050929714416,4.9334197602734005,2322.941129417903
backswing_peak_speed,71,1.0389348697360987,5.509862814101838,530.3376539379611,15.272560528295294,0.0,46.45882258835806
