time,stick_speed,angular_velocity,acceleration,angular_acceleration,energy_proxy,jerk,time_norm,tip_x_m,tip_y_m,tip_x_m_raw,tip_y_m_raw,scale_m,hip_angle_deg,shoulder_angle_deg,x_factor_deg,wrist_angle_deg,arc_radius_px,curvature_1_m,path_efficiency,phase
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.778124348817022,1.8986376594035552,3.8050728291720834,1.882862263780154,0.0035457577005980592,7.496779197898333,4.4283112180479165,-3.068467979850416,149.18069240035572,197.99805035106172,,0.0,backswing
0.02,46.45882258835806,4.269162388353035,2322.941129417903,213.45811941765174,2158.4221962965294,116147.05647089516,0.013513513513513514,3.9298988644155197,2.815334651289889,3.935591835803249,2.846734560336858,0.0035457577005980597,34.38262413980525,64.55441662360613,30.171792483800875,28.508708332043128,194.96361162837752,0.020947391095850545,1.0,backswing
0.04,23.528871847564897,18.550647338497885,-1146.4975370396583,714.0742475072425,553.607810419132,-173471.93332287806,0.02702702702702703,3.999950032652843,3.2806688945991898,4.0040626089223625,3.3123146040683538,0.0035457577005980597,34.2374349795919,64.46350479798073,30.22606981838883,29.285205802452502,194.8901759969775,0.3725481684280419,0.9999760168124716,backswing
0.06,7.4647250685731485,3.693945918373343,-803.2073389495876,-742.8350710062273,55.7221203493844,17164.50990450354,0.04054054054054054,4.004772007520281,3.407470918744718,4.009009238824101,3.438906986769081,0.0035244831543944717,36.37443774344463,66.98331609154445,30.60887834809982,28.53555571861816,,13.27500481358554,0.9994193463512001,backswing
0.08,0.7280244256515954,0.15251821153353104,-336.8350321460776,-177.07138534199058,0.5300195643453354,23318.615340175493,0.05405405405405406,3.9911403023424525,3.3972198039135626,3.9973494328242576,3.4273469590938523,0.003503336255468105,38.59929287075956,74.44705245221739,35.84775958145784,13.752453616619563,,4.106358303251352,0.980528903534538,backswing
0.1,0.7057423034457161,0.3759224995241505,-1.1141061102939662,11.170214399530972,0.4980721988728652,16786.046301789178,0.06756756756756757,3.9762902973526115,3.387628910180985,3.9851462093008156,3.4176925337221626,0.0034823162379352965,52.4556923373572,91.73858813012217,39.282895792764975,3.30976564119692,,4.286479360252068,0.9620455097270976,backswing
0.12,0.33693528747048995,0.32584859537009864,-18.440350798761315,-2.5036952077025956,0.1135253879428217,-866.3122344233678,0.08108108108108109,3.956841348194006,3.3723994788161855,3.9651091504065548,3.402435131976102,0.003461422340507685,156.0726151652952,146.86001079645413,-9.212604368841042,4.1437053825770915,,0.717780194879345,0.9359899686067495,backswing
0.14,0.03760961419076735,0.1619568433829098,-14.966283663986117,-8.194587599359433,0.001414483079578369,173.7033567387598,0.0945945945945946,3.9324075841105772,3.352458233411169,3.939581998535996,3.3825314532344852,0.003440653806464639,178.3220630389088,168.10230493241994,-10.219758106488849,2.8088189317131915,,3.42176623461963,0.9037860391338587,backswing
0.16,0.26788604007966427,0.2045796355607089,11.51382129444485,2.1311396088899563,0.07176293046956349,1324.005247921549,0.10810810810810811,3.903711540671977,3.333980209616378,3.9159257198693953,3.362233133402516,0.0034200098836258516,178.32208326035197,168.10202376724698,-10.22005949310501,2.808803016458111,,3.2244961094948894,0.8723015220917248,backswing
0.18,1.4058884309096833,0.7430437324576048,56.90011954150098,26.923204844844808,1.9765222801656914,2269.3149123528074,0.12162162162162161,3.8595094470545948,3.2950341053877894,3.869910827836352,3.3238071881936553,0.003399489824324097,-177.2763193040083,179.55544320267717,-3.168237493314547,15.542635570927342,,0.369761091957308,0.8176740825888023,backswing
0.2,2.0822288506134194,0.5072896840126957,33.81702098518678,-11.787702422245445,4.335676986326882,-1154.1549278157088,0.13513513513513514,3.8042806378247715,3.24869938526839,3.8161688213659275,3.2766913637454613,0.003379092885378153,-175.34377764009022,-176.73298394000807,-1.389206299917839,16.418787248237614,,0.750804708531284,0.7574313704414727,backswing
0.22,3.6896315227770056,0.8051078738275879,80.37013360817934,14.890909490744615,13.613380773869764,2327.6556311496292,0.14864864864864866,3.7293780973961588,3.176925707378332,3.7435494009144774,3.203627554917945,0.0033588183280658843,-171.51500386516585,-162.32854836842137,9.186455496744491,45.56454203503324,,0.6955096428927983,0.6780919841070787,backswing
0.24,7.878009282306434,0.5002661750994788,209.41888797647155,-15.242084936405462,62.06303025210633,6452.437718414613,0.16216216216216217,3.6084070282631293,3.0349646925753846,3.618923597793833,3.0631122216676494,0.003338665418097489,-167.6169105950702,-152.9690308063403,14.647879788729893,69.87354723627242,,0.16161546906131943,0.5542340028461148,backswing
0.26,8.486980158924947,1.141742178332188,30.44854383092563,32.073800161635425,72.02883221798572,-8948.51720727729,0.17567567567567569,3.4755491169633905,2.8885190603791226,3.453489368099194,2.868383345022153,0.003318633425588904,-166.40243383269106,-150.27313153578,16.129302296911042,92.05549397479494,,0.1624700742530508,0.4558396741778569,backswing
0.28,2.9451891544193516,0.28545879791312373,-277.08955022527954,-42.81416902095317,8.674139155309375,-15376.904702810245,0.1891891891891892,3.4164883926915466,2.826356617821351,3.4327767874171755,2.8511778770637757,0.003298721625035371,-166.3829724432397,-150.23899624025128,16.14397620298843,92.08018298648857,,0.458520152733655,0.42254145433184964,backswing
0.3,11.819002479976477,1.7735068855420566,443.69066627785713,74.40240438144679,139.68881962169013,36039.0108251569,0.2027027027027027,3.2515024886558823,2.622318168392606,3.264580977668858,2.6487721792102357,0.0032789292952851586,-166.56039507533404,-148.3394357571733,18.220959318160745,114.67765063758443,,0.11419863411506233,0.34175307214821,backswing
0.32,17.492882050366855,4.811900564125783,283.6939785195186,151.91968392918616,306.0009224280469,-7999.834387916919,0.21621621621621623,3.027009370468127,2.3230672645060593,3.026127627073652,2.352387310618676,0.003259255719513448,-166.96763045551577,-149.65127705536582,17.31635340014996,116.76734010351718,,0.05465593616051056,0.28825355821785636,backswing
0.34,17.965241782180186,118.09197051019416,23.61798659066652,5664.003497303414,322.74991229219273,-13003.799596442594,0.22972972972972974,2.791864425037621,2.02274032988477,2.7662313700569516,2.0088444768039104,0.0032397001851963677,-167.27174842082763,-148.08420554071668,19.187542880110957,134.04809600047983,,0.011137168215436203,0.29458120013178263,backswing
0.36,16.05034482381817,23.058516853920217,-95.74484791810107,-4751.672682813705,257.61356896346666,-5968.1417254383905,0.24324324324324323,2.5828397385425683,1.753550724524124,2.5646627152563704,1.7309770032670804,0.00322026198408519,-167.40955345322257,-147.77588223939125,19.633671213831324,141.68862510614377,,0.940025865207295,0.32408769128259746,backswing
0.38,2.913319709891879,1.297955122195592,-656.8512556963138,-1088.0280865862303,8.487431732044502,-28055.320388910615,0.25675675675675674,2.5638608477674585,1.7170998775667408,2.5800386301101077,1.7413561425180726,0.003239583555989701,-167.40794902553998,-147.77591553599848,19.63203348954151,141.69189919272748,,0.51281018693601,0.3268516441038805,backswing
0.4,20.45026368667113,3.4963067673593664,876.8471988389616,109.91758225818863,418.2132848543798,76684.9227267637,0.2702702702702703,2.345472801849403,1.3917891057529088,2.3260065329207835,1.3698486624479502,0.00325902105732564,-167.84358482620584,-147.223563381829,20.620021444376842,150.52475534871925,,0.2971734655324562,0.3663492816082787,backswing
0.42,11.484511900473855,1.6289096787455635,-448.28758930986453,-93.36985443069032,131.8940135921256,-66256.73940744143,0.28378378378378377,2.2419987723043313,1.2028067725891092,2.230738432736811,1.2115978193201264,0.003278575183669594,-168.6093297011158,-146.81074081930703,21.79858888180877,150.2400024304302,,0.1420785077295474,0.3864650687987422,backswing
0.44,11.974507629217083,0.8925952111362926,24.499786437161376,-36.81572338046351,143.38883296217813,23639.368787351275,0.2972972972972973,2.1271349921799527,1.0078093811678073,2.105181103553998,0.9878298998390657,0.0032982466347716115,-167.39742975217956,-149.13226306789304,18.265166684286523,177.40067163634347,,0.5467778317403165,0.408721080301226,backswing
0.46,8.569977405026647,0.4739409084017594,-170.22651120952168,-20.932715136726642,73.44451272266726,-9736.314882334145,0.3108108108108108,2.0607823639023986,0.8618083748501671,2.0421627286595103,0.8384616911522165,0.0033180361145802415,-165.67652421105404,-148.4623403730665,17.21418383798756,175.52115315471292,,2.570148759998727,0.42230400755651354,backswing
0.48,3.663417147518293,0.803610751015184,-245.32801287541812,16.48349213067126,13.420625196731066,-3755.0750832948297,0.32432432432432434,2.051981883266765,0.7968344786561342,2.035801123875506,0.7715229262230613,0.003337944331267723,-164.3678350875649,-148.61425193466678,15.753583152898125,138.6983169088048,,27.44155046564982,0.42522421862040033,backswing
0.5,0.737596931899592,0.470676378164669,-146.29101078093493,-16.646718642525734,0.5440492339476913,4951.850104724155,0.33783783783783783,2.074337077813251,0.7908103129949652,2.047955059178135,0.7760677506865051,0.00335797199725533,-163.96313975618273,-148.29233984736908,15.67079990881365,138.6835319719864,,12.099338116393438,0.4199802623501029,backswing
0.52,0.8690235390824564,0.14503273346879716,6.571330359143218,-16.282182234793577,0.7552019114793977,7643.1170570039,0.35135135135135137,2.1038944218741302,0.7925083014101066,2.0807006823943386,0.7728513019193398,0.003378119829238862,-163.84077669444025,-148.72271711560558,15.118059578834679,113.89022592861033,,8.204701228447398,0.4121575762980563,backswing
