session_id,samples,mean_dev_m,median_dev_m,p90_dev_m,p95_dev_m,p99_dev_m,max_dev_m,rms_jerk,frames_dev_over_3cm,frames_dev_over_5cm
052f8a05-916d-4300-badf-aa80d38d1c6d,75,0.028359785360948808,0.030760344286066433,0.03433451255030185,0.03476244883533422,0.03501560207656751,0.03517082919548189,35704.10612834782,47,0
0de5883a-0f0b-4e36-aa9d-2115230940b7,19,0.008966102487135733,0.008833848779145774,0.017672236373265232,0.020290708418346435,0.02029390739525281,0.020294707139479402,1902.7158766472348,0,0
0f116f84-9ff5-4346-abf4-aa3ffef93b6a,326,0.020379073187412375,0.014976189907956333,0.053621230034565655,0.058719936065380486,0.060891345963120486,0.06198289199369128,1381.105047788463,89,48
15f312b0-d99c-4535-8c57-5b099a1428be,345,0.015262741540329163,0.016609942177736398,0.02833125778231009,0.03463146734753116,0.038501312662586884,0.03932904085042244,204.98225027261722,25,0
1923a324-7b77-4d06-a3a6-8a7fd6e6fd8b,135,0.004576605384693576,0.0035995693235121476,0.011222826672138267,0.012750153588988185,0.012983094565124564,0.013028097068042447,220.4332491651803,0,0
1efface8-4d43-4627-bf20-1017135f0a83,70,0.005017708153241114,0.0010127950277045556,0.019017845841752926,0.023633860248180035,0.023794334153164273,0.023892659810834747,172.1149129371642,0,0
2850af90-f8fc-4050-a178-b659098e69df,43,0.011575145653622982,0.002510939586655785,0.05161106373215507,0.052099744491046936,0.05237869660046725,0.05246202291307817,2210.7878428687577,7,6
2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,30,0.004522639887822101,0.004226124911872537,0.009002805381235563,0.009739189411157223,0.011787821180342186,0.012610979748362795,42.64092272984619,0,0
2d1d534f-da92-4cd2-830b-7c8b6382e676,397,0.014607112425545032,0.012286297690818552,0.032954180699821416,0.035760348957109896,0.03846614818016841,0.03939347255325304,134.84377579250733,61,0
2e777553-6d50-42a0-9b93-ba0d32a6d98a,64,0.0025577695175149776,0.0005110707001900975,0.006663337885277041,0.011957816085266033,0.01917987868306197,0.020256477821773235,129.57153017179365,0,0
2f15e60c-d955-4db2-8c3b-f233f9c696ad,33,0.014184871373766679,0.013927926344653884,0.01913204387940785,0.01942336836315182,0.019723076778792703,0.019798423926246356,385.72300460938385,0,0
32afaf69-d3a9-4e07-b029-92248bd657cb,55,0.005416322443698448,0.0012106360081071837,0.01841664209799324,0.026739838896058996,0.02928784466484513,0.029295445007934538,153.29232955370236,0,0
32fec03e-0046-4581-885b-ef0d7f174e53,82,0.011129848210402403,0.00739593272389305,0.027671322174996776,0.02807006670089285,0.02810721123144182,0.028117731633722953,385.0199556452975,0,0
33208955-66a2-4112-800a-cf10ecfc0828,98,0.006033933307216916,0.0009295075513483736,0.018680359866866062,0.019646341112460268,0.020305548174117845,0.020423705196227316,1917.5654743272855,0,0
332a7a76-cfa3-449e-9150-f93050fed050,19,0.005533279311084766,0.003542446954863986,0.01694851801764071,0.01774908895805627,0.017758887794879746,0.017761337504085616,674.5535011174345,0,0
36b05de8-5e98-425f-8b72-8e505337e150,22,0.0052544690244166505,0.004212183569140897,0.009636565370276108,0.017454302264361083,0.0179585872217386,0.017985827768509283,705.521001382313,0,0
3b89ea04-d406-49af-84b4-f944b83bd242,56,0.014618811791546643,0.007539484942660811,0.03127951021264316,0.032467579075053384,0.036697222761253465,0.03693884237632924,98.02292670306538,10,0
3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,91,0.006095955949977327,0.0007098883380805531,0.018330368282669905,0.019093506396268577,0.01921027788368288,0.0193582790029856,491.96496615444073,0,0
3d2d3fba-5e87-4b9f-97a7-05ca1da9dd0f,72,0.010855777529932073,0.005598955331188104,0.0353089026740697,0.03759160132656354,0.03823567567245931,0.03839827672499243,1367.8817146432352,10,0
3d47c3b9-21d9-4794-995d-52804115fb8b,10,0.015352718615010965,0.019791740432404784,0.020556751185781916,0.020654908830877016,0.020733434946953098,0.020753066475972116,2713.351099792091,0,0
3fcbd2bc-bf2f-453f-821f-e9d90e2b2ead,44,0.004839067910447061,0.0029202308864984244,0.01324006128460271,0.013316922419043874,0.013355804511056784,0.013365975081710753,212.00374598885548,0,0
42f8729a-ed28-45a2-bf9b-397d2d698bb0,16,0.011532906023608982,0.011491087025297646,0.018685350788951872,0.02046274709567638,0.020862254062979615,0.020962130804805423,595.4030191088123,0,0
451867f4-8a40-46f3-a665-55aa1285c898,5,0.011610790379418487,0.01466192607060155,0.015096808681949304,0.015096825432703076,0.015096838833306094,0.015096842183456848,3776.563962546546,0,0
48c9026f-11c4-410d-82ec-f33d477d9db6,111,0.007027585419814045,0.002962686142284024,0.021538255422530635,0.022541432845521715,0.02465970597589067,0.02512123210040579,157.22108775595825,0,0
511a396b-aa38-4056-a980-76723ed0c05f,99,0.006890403035915992,0.0006538952548687051,0.01834561050933622,0.019243310614972902,0.019808510587166702,0.020042101285972332,4062.2327269316697,0,0
57660e2f-8425-445f-bca0-17c6e557f1b0,2,0.026372734847593685,0.026372734847593685,0.02715346583346765,0.027251057206701894,0.02732913030528929,0.02734864857993614,2120.428954182818,0,0
57699afd-a167-4185-8c9c-bf0424673650,13,0.006604373789583281,0.005181186969005062,0.012650593935179354,0.012663393552902828,0.012674828005535729,0.012677686618693954,313.20017120777106,0,0
59b735c5-5858-4400-acef-0620ed6302ef,10,0.013018313002978635,0.013908132243860314,0.02075357263557638,0.020865843007066093,0.020955659304257863,0.020978113378555804,836.658691647993,0,0
5f639758-d852-4d8c-9ab6-59ec429710dd,98,0.0064849911479508355,0.0007309526683119999,0.018095641075149608,0.018599118603793166,0.01920588931512681,0.01931764747447225,2723.527334022499,0,0
663f8c26-38d2-4a43-af41-406c1a9ed3a1,112,0.00849081177646711,0.0017139194927286113,0.019776152364343293,0.020986919122344943,0.022264455370397354,0.022431274981913933,7029.108114220695,0,0
6d81c012-de25-4065-b7ef-1b93ed31c31a,10,0.011922197803744742,0.00921193651643111,0.0246123855049941,0.024615429539159687,0.02461786476649216,0.024618473573325278,7636.710670523712,0,0
710ec72e-e54b-4ace-b3e8-2670fb2657d8,12,0.014178641494016425,0.01542751338325881,0.024337775671347033,0.024396751260830428,0.024450193671437838,0.02446355427408969,1533.0007350908907,0,0
71551702-b027-418a-a051-cdb8569f6bab,75,0.001443284747536226,0.00020736510064464387,0.005436103679431557,0.012514113662245295,0.012652124139651106,0.012662730472831955,93.6466513491973,0,0
7323bdcf-1706-4d92-b9df-fa360f7b19e4,20,0.011488053625270413,0.01095045253553071,0.02027117122582105,0.02225019968179032,0.02227283696437608,0.022278496285022518,1065.5612731296428,0,0
7473617c-26a8-428f-9ba6-fc51dd7d2156,14,0.004916369267756164,0.0031739345436675353,0.011615925933140293,0.012853688893916764,0.01289391976803254,0.012903977486561484,1220.3642614161672,0,0
74790585-e2d8-469c-bb0a-b5ca9d31a966,5,0.015887084120313658,0.018179954958923644,0.01828969311762972,0.018289693117629756,0.018289693117629784,0.01828969311762979,2344.220324431794,0,0
757750a0-6a79-4d73-b82c-bd9d28f11ccc,139,0.012061035062632387,0.01731631215595657,0.023238246289717643,0.024099794428336405,0.02488128897162726,0.02631722566229774,6393.4187586447315,0,0
76a8936a-1587-42ba-9e7f-854d230d8e7b,56,0.011720310969845795,0.00850720979539299,0.02297265663129533,0.023562589432772986,0.023874761326845167,0.023953335887908916,374.5333701006285,0,0
773e4afa-dd28-40a5-95b6-f411898f3712,25,0.010030280055910277,0.01031587794870396,0.01926891036113482,0.019422484781726673,0.0194901470494448,0.0195019027777576,1209.1460485374832,0,0
7a0c087a-b6c7-42ea-bc67-63453d4cac7f,91,0.004591693551100984,0.00046608731962568075,0.017493233475907068,0.01847823509055275,0.01942771989588321,0.019498368671791857,417.8968935432661,0,0
7f7bf52f-1a8f-4c38-8d68-41b634af50ab,11,0.011446915367233534,0.011118935274257937,0.021087236272624328,0.021219712545329762,0.021325693563494112,0.0213521888180352,1758.6425256796026,0,0
81085f86-e4f0-4e28-98d2-e8063faed5b4,76,0.0049677190175784255,0.0030885551931634117,0.01517987086455454,0.021595256965463924,0.021820664997450962,0.02190217706301997,113.63835535432447,0,0
